tensor(14.8385, grad_fn=<DivBackward0>)
tensor(574.5292, grad_fn=<DivBackward0>)
tensor(81.9116, grad_fn=<DivBackward0>)
tensor(18.2542, grad_fn=<DivBackward0>)
tensor(52.4043, grad_fn=<DivBackward0>)
tensor(14.0414, grad_fn=<DivBackward0>)
tensor(26.1250, grad_fn=<DivBackward0>)
tensor(12.5780, grad_fn=<DivBackward0>)
tensor(18.6747, grad_fn=<DivBackward0>)
tensor(10.8416, grad_fn=<DivBackward0>)
tensor(15.6957, grad_fn=<DivBackward0>)
tensor(9.0559, grad_fn=<DivBackward0>)
tensor(12.3226, grad_fn=<DivBackward0>)
tensor(8.6911, grad_fn=<DivBackward0>)
tensor(10.5237, grad_fn=<DivBackward0>)
tensor(9.0409, grad_fn=<DivBackward0>)
tensor(10.5016, grad_fn=<DivBackward0>)
tensor(7.6783, grad_fn=<DivBackward0>)
tensor(9.0062, grad_fn=<DivBackward0>)
tensor(8.0577, grad_fn=<DivBackward0>)
tensor(8.7878, grad_fn=<DivBackward0>)
tensor(6.8485, grad_fn=<DivBackward0>)
tensor(8.4808, grad_fn=<DivBackward0>)
tensor(7.7045, grad_fn=<DivBackward0>)
tensor(7.7951, grad_fn=<DivBackward0>)
tensor(7.0874, grad_fn=<DivBackward0>)
tensor(7.1415, grad_fn=<DivBackward0>)
tensor(6.2318, grad_fn=<DivBackward0>)
tensor(6.7923, grad_fn=<DivBackward0>)
tensor(6.4659, grad_fn=<DivBackward0>)
tensor(5.8704, grad_fn=<DivBackward0>)
tensor(6.3432, grad_fn=<DivBackward0>)
tensor(5.9657, grad_fn=<DivBackward0>)
tensor(6.0367, grad_fn=<DivBackward0>)
tensor(5.6419, grad_fn=<DivBackward0>)
tensor(6.1862, grad_fn=<DivBackward0>)
tensor(5.4944, grad_fn=<DivBackward0>)
tensor(5.9615, grad_fn=<DivBackward0>)
tensor(5.4745, grad_fn=<DivBackward0>)
tensor(5.7453, grad_fn=<DivBackward0>)
tensor(4.8923, grad_fn=<DivBackward0>)
tensor(6.7602, grad_fn=<DivBackward0>)
tensor(4.5985, grad_fn=<DivBackward0>)
tensor(5.5693, grad_fn=<DivBackward0>)
tensor(4.6660, grad_fn=<DivBackward0>)
tensor(5.7350, grad_fn=<DivBackward0>)
tensor(4.5628, grad_fn=<DivBackward0>)
tensor(5.3864, grad_fn=<DivBackward0>)
tensor(4.2712, grad_fn=<DivBackward0>)
tensor(5.8414, grad_fn=<DivBackward0>)
tensor(4.5897, grad_fn=<DivBackward0>)
tensor(4.8039, grad_fn=<DivBackward0>)
tensor(4.6362, grad_fn=<DivBackward0>)
tensor(4.9412, grad_fn=<DivBackward0>)
tensor(5.5512, grad_fn=<DivBackward0>)
tensor(6.0280, grad_fn=<DivBackward0>)
tensor(3.6431, grad_fn=<DivBackward0>)
tensor(5.0916, grad_fn=<DivBackward0>)
tensor(4.1279, grad_fn=<DivBackward0>)
tensor(5.4187, grad_fn=<DivBackward0>)
tensor(3.7953, grad_fn=<DivBackward0>)
tensor(4.6279, grad_fn=<DivBackward0>)
tensor(3.5163, grad_fn=<DivBackward0>)
tensor(4.9455, grad_fn=<DivBackward0>)
tensor(4.1546, grad_fn=<DivBackward0>)
tensor(4.3695, grad_fn=<DivBackward0>)
tensor(4.2366, grad_fn=<DivBackward0>)
tensor(4.7086, grad_fn=<DivBackward0>)
tensor(3.7180, grad_fn=<DivBackward0>)
tensor(3.9447, grad_fn=<DivBackward0>)
tensor(3.6493, grad_fn=<DivBackward0>)
tensor(3.7822, grad_fn=<DivBackward0>)
tensor(3.2245, grad_fn=<DivBackward0>)
tensor(4.3765, grad_fn=<DivBackward0>)
tensor(3.7986, grad_fn=<DivBackward0>)
tensor(4.1112, grad_fn=<DivBackward0>)
tensor(3.5425, grad_fn=<DivBackward0>)
tensor(5.1120, grad_fn=<DivBackward0>)
tensor(3.4382, grad_fn=<DivBackward0>)
tensor(4.5711, grad_fn=<DivBackward0>)
tensor(3.3850, grad_fn=<DivBackward0>)
tensor(4.4237, grad_fn=<DivBackward0>)
tensor(3.2303, grad_fn=<DivBackward0>)
tensor(5.0594, grad_fn=<DivBackward0>)
tensor(3.3548, grad_fn=<DivBackward0>)
tensor(4.9167, grad_fn=<DivBackward0>)
tensor(2.8878, grad_fn=<DivBackward0>)
tensor(3.8256, grad_fn=<DivBackward0>)
tensor(3.2137, grad_fn=<DivBackward0>)
tensor(4.2283, grad_fn=<DivBackward0>)
tensor(3.4698, grad_fn=<DivBackward0>)
tensor(4.4334, grad_fn=<DivBackward0>)
tensor(3.1087, grad_fn=<DivBackward0>)
tensor(4.4494, grad_fn=<DivBackward0>)
tensor(2.9712, grad_fn=<DivBackward0>)
tensor(4.5643, grad_fn=<DivBackward0>)
tensor(3.0383, grad_fn=<DivBackward0>)
tensor(5.3453, grad_fn=<DivBackward0>)
tensor(3.0164, grad_fn=<DivBackward0>)
tensor(3.9947, grad_fn=<DivBackward0>)
tensor(3.6894, grad_fn=<DivBackward0>)
tensor(4.0084, grad_fn=<DivBackward0>)
tensor(3.2114, grad_fn=<DivBackward0>)
tensor(3.7304, grad_fn=<DivBackward0>)
tensor(3.0885, grad_fn=<DivBackward0>)
tensor(3.8448, grad_fn=<DivBackward0>)
tensor(2.9583, grad_fn=<DivBackward0>)
tensor(3.6081, grad_fn=<DivBackward0>)
tensor(3.1198, grad_fn=<DivBackward0>)
tensor(4.2484, grad_fn=<DivBackward0>)
